=============BTC 7, 10=============
开多:2019-09-12T03:00:00, 开仓价:10088.30, 平多:2019-09-12T14:00:00, 平仓价:10078.07, 盈亏-0.10%
开空:2019-09-12T14:00:00, 开仓价:10078.07, 平空:2019-09-12T16:00:00, 平仓价:10160.09, 盈亏-0.81%
开多:2019-09-12T16:00:00, 开仓价:10160.09, 平多:2019-09-13T15:00:00, 平仓价:10310.49, 盈亏1.48%
开空:2019-09-13T15:00:00, 开仓价:10310.49, 平空:2019-09-13T16:00:00, 平仓价:10612.76, 盈亏-2.93%
开多:2019-09-13T16:00:00, 开仓价:10612.76, 平多:2019-09-14T17:00:00, 平仓价:10593.00, 盈亏-0.19%
开空:2019-09-14T17:00:00, 开仓价:10593.00, 平空:2019-09-14T22:00:00, 平仓价:10668.23, 盈亏-0.71%
开多:2019-09-14T22:00:00, 开仓价:10668.23, 平多:2019-09-15T11:00:00, 平仓价:10630.56, 盈亏-0.35%
开空:2019-09-15T11:00:00, 开仓价:10630.56, 平空:2019-09-16T07:00:00, 平仓价:10617.05, 盈亏0.13%
开多:2019-09-16T07:00:00, 开仓价:10617.05, 平多:2019-09-16T15:00:00, 平仓价:10609.38, 盈亏-0.07%
开空:2019-09-16T15:00:00, 开仓价:10609.38, 平空:2019-09-17T06:00:00, 平仓价:10599.09, 盈亏0.10%
开多:2019-09-17T06:00:00, 开仓价:10599.09, 平多:2019-09-17T14:00:00, 平仓价:10496.00, 盈亏-0.97%
开空:2019-09-17T14:00:00, 开仓价:10496.00, 平空:2019-09-17T23:00:00, 平仓价:10506.04, 盈亏-0.10%
开多:2019-09-17T23:00:00, 开仓价:10506.04, 平多:2019-09-18T07:00:00, 平仓价:10475.98, 盈亏-0.29%
开空:2019-09-18T07:00:00, 开仓价:10475.98, 平空:2019-09-18T09:00:00, 平仓价:10543.49, 盈亏-0.64%
开多:2019-09-18T09:00:00, 开仓价:10543.49, 平多:2019-09-18T13:00:00, 平仓价:10494.66, 盈亏-0.46%
开空:2019-09-18T13:00:00, 开仓价:10494.66, 平空:2019-09-20T01:00:00, 平仓价:10251.72, 盈亏2.31%
