=============BTC 7, 10=============
开空:2019-08-04T14:00:00, 开仓价:10751.25, 平空:2019-08-04T22:00:00, 平仓价:11049.76, 盈亏-2.78%
开多:2019-08-04T22:00:00, 开仓价:11049.76, 平多:2019-08-07T02:00:00, 平仓价:11787.24, 盈亏6.67%
开空:2019-08-07T02:00:00, 开仓价:11787.24, 平空:2019-08-07T20:00:00, 平仓价:12133.66, 盈亏-2.94%
开多:2019-08-07T20:00:00, 开仓价:12133.66, 平多:2019-08-08T20:00:00, 平仓价:11743.27, 盈亏-3.22%
开空:2019-08-08T20:00:00, 开仓价:11743.27, 平空:2019-08-09T08:00:00, 平仓价:11949.65, 盈亏-1.76%
开多:2019-08-09T08:00:00, 开仓价:11949.65, 平多:2019-08-09T18:00:00, 平仓价:11749.20, 盈亏-1.68%
开空:2019-08-09T18:00:00, 开仓价:11749.20, 平空:2019-08-10T04:00:00, 平仓价:11959.76, 盈亏-1.79%
开多:2019-08-10T04:00:00, 开仓价:11959.76, 平多:2019-08-10T18:00:00, 平仓价:11375.67, 盈亏-4.88%
开空:2019-08-10T18:00:00, 开仓价:11375.67, 平空:2019-08-12T04:00:00, 平仓价:11518.32, 盈亏-1.25%
开多:2019-08-12T04:00:00, 开仓价:11518.32, 平多:2019-08-12T16:00:00, 平仓价:11369.31, 盈亏-1.29%
开空:2019-08-12T16:00:00, 开仓价:11369.31, 平空:2019-08-16T04:00:00, 平仓价:10327.01, 盈亏9.17%
开多:2019-08-16T04:00:00, 开仓价:10327.01, 平多:2019-08-16T14:00:00, 平仓价:9916.50, 盈亏-3.98%
开空:2019-08-16T14:00:00, 开仓价:9916.50, 平空:2019-08-16T22:00:00, 平仓价:10420.77, 盈亏-5.09%
开多:2019-08-16T22:00:00, 开仓价:10420.77, 平多:2019-08-18T00:00:00, 平仓价:10096.15, 盈亏-3.12%
开空:2019-08-18T00:00:00, 开仓价:10096.15, 平空:2019-08-18T18:00:00, 平仓价:10427.64, 盈亏-3.28%
